url,page,id,section,tabs,section_title,section_subtitle,chart_title,chart_subtitle,footnote,source
/energy/fuel-sources/coal/reserve,energy-coal-reserve,stacked-area-chart-coalStateTrend,yoy-statewise-coal-and-lignite-reserves,,,,Year-on-Year State-wise Coal & Lignite Reserves,,,MoC
/energy/fuel-sources/coal/reserve,energy-coal-reserve,coalDepthCurrentYearChart,statewise-coal-reserves-by-depth,,State-wise Coal Reserves by Depth,,,in {{dynamicYear}},,MoC
/energy/fuel-sources/coal/reserve,energy-coal-reserve,coalDepthTrendChart,coal-reserves-by-depth-trend,,Coal Reserves by Depth Trend,,,,,MoC
/energy/fuel-sources/coal/reserve,energy-coal-reserve,sunburst-chart,coal-fieldwise-reserves,,,,Coal Field-wise Reserves,for {{dynamicYear}} (Qty in Milion Tonnes),,MoC
/energy/fuel-sources/coal/reserve,energy-coal-reserve,stacked-line-chart-,coal-fieldwise-reserves-trend,,,,Coal Field-wise Reserves Trends,,"For the year 2022-23, data is available only for Gondwana and Tertiary coalfields. The divisions of sub-coalfields that were present in previous years are not available for 2022-23.",MoC
/energy/fuel-sources/coal/reserve,energy-coal-reserve,sunburst-chart,reserves-by-coal-type,,,,Reserves by Coal Type,for {{dynamicYear}} (Qty in Milion Tonnes),,MoC
/energy/fuel-sources/coal/reserve,energy-coal-reserve,stacked-line-chart-,reserves-by-coal-type-trend,,,,Reserves by Coal Type Trends,,,MoC
/energy/fuel-sources/coal/production,energy-coal-production,stacked-bar-chart-current-production,domestic-production-by-state,,,,State-wise Domestic Coal Production,in {{dynamicYear}},The production data includes the data for coal and lignite.,MoC
/energy/fuel-sources/coal/production,energy-coal-production,stacked-bar-chart-trend-production,statewise-domestic-production-trend,,,,State-wise Domestic Coal Production Trends,,The production data includes the data for coal and lignite.,MoC
/energy/fuel-sources/coal/production,energy-coal-production,treemap-chart-current-production-by-company,companywise-domestic-coal-production,,,,Company-wise Domestic Coal Production,for {{dynamicYear}} (Qty in Milion Tonnes),,MoC
/energy/fuel-sources/coal/production,energy-coal-production,production-by-company-trend,companywise-domestic-coal-production-trends,,,,Company-wise Domestic Coal Production Trends,,,MoC
/energy/fuel-sources/coal/production,energy-coal-production,sunburst-chart,gradewise-coal-production,,,,Grade-wise Coal Production,for {{dynamicYear}} (Qty in Milion Tonnes),,MoC
/energy/fuel-sources/coal/production,energy-coal-production,multi-type-chart-trend-grade,gradewise-coal-production-trends,,,,Grade-wise Coal Production Trends,,,MoC
/energy/fuel-sources/coal/import,energy-coal-import,map,coal-and-lignite-imported,,,,{{type}} Imported in India from various Countries,for the {{dynamicYear}},,MoC
/energy/fuel-sources/coal/import,energy-coal-import,country-table-chart,coal-and-lignite-imported,,,,Coal type wise Imported in India from various countries,,,MoC
/energy/fuel-sources/coal/import,energy-coal-import,pie-chart-coal-type-pie-chart,coaltypewise-import-in-india,,,,Coal type-wise Import in India,,,MoC
/energy/fuel-sources/coal/import,energy-coal-import,coal-type-stack-chart,coaltypewise-import-trends,,,,Coal Type-wise Import Trends,,,MoC
/energy/fuel-sources/coal/import,energy-coal-import,coal-type-area-chart,typewise-coal-import-from-top-five-countries,,Type-wise Coal imported from Top Five Countries,,,,,MoC
/energy/fuel-sources/coal/import,energy-coal-import,import-price-bar-chart,top-five-countries-import-price,,,,Top Five Countries Import Price (₹/Tonne),in {{dynamicYear}},,MoC
/energy/fuel-sources/coal/import,energy-coal-import,import-price-line-chart,countrywise-coal-import-price-trends,,,,Country-wise Coal Import Price Trends,,,MoC
/energy/fuel-sources/coal/import,energy-coal-import,pie-chart-sector-pie-chart,sectorwise-coal-usage,,,,Sector-wise Coal Usage,for {{dynamicYear}},,MoC
/energy/fuel-sources/coal/import,energy-coal-import,sector-stack-chart,sectorwise-coal-usage-trends,,,,Sector-wise Coal Usage Trends,,,MoC
/energy/fuel-sources/coal/offtake,energy-coal-offtake,pie-chart-current-offtake,offtake-domestic-coal-in-india,,,,Offtake of Domestic Coal in India,in {{dynamicYear}},,MoC
/energy/fuel-sources/coal/offtake,energy-coal-offtake,stacked-bar-chart-trend-offtake,yoy-offtake-domestic-coal-in-india,,,,Year-on-Year Offtake of Domestic Coal in India,,,MoC
/energy/fuel-sources/coal/consumption,energy-coal-consumption,overview-multi-grid,sectorwise-coal-consumption,,Sector-wise Coal Consumption,,,,,MoC
/energy/fuel-sources/coal/consumption,energy-coal-consumption,stacked-area-chart-0,sectorwise-domestic-coal-lignite-consumption-trends,,,,Sector-wise Domestic Coal & Lignite Consumption Trends,,,MoC
/energy/fuel-sources/coal/consumption,energy-coal-consumption,stacked-area-chart-generateSteel,yoy-coal-consumption-by-steel-and-washery-sector,,,,Year-on-Year Coal Consumption by Steel & Washery Sector,,,MoC
/energy/fuel-sources/coal/consumption,energy-coal-consumption,stacked-area-chart-generateCement,yoy-coal-consumption-by-cement-sectors,,,,Year-on-Year Coal Consumption by Cement Sector,,,MoC
/energy/fuel-sources/coal/consumption,energy-coal-consumption,stacked-area-chart-generateOthers,yoy-coal-consumption-by-other-sectors,,,,Year-on-Year Coal Consumption by Other Sectors,,,MoC
/energy/fuel-sources/coal/consumption,energy-coal-consumption,stacked-area-chart-generatePower,yoy-coal-consumption-by-power-sectors,,,,Year-on-Year Coal Consumption by Power Sector,,,MoC
/energy/fuel-sources/coal/consumption,energy-coal-consumption,treemap-chart-8,coal-consumption-by-broad-categories,,,,Coal Consumption by Broad Categories,Qty in Million Tonnes,,MoC
/energy/fuel-sources/coal/consumption,energy-coal-consumption,StateTrend,statewise-coal-consumption-trends,,,,State-wise Coal Consumption Trends,,,MoC
/energy/fuel-sources/coal/consumption,energy-coal-consumption,treemap-chart-9,statewise-domestic-coal-consumption-in-india,,,,State-wise Domestic Coal Consumption in India,,,MoC
/energy/fuel-sources/coal/pricing,energy-coal-pricing,multi-type-chart-daily-price,daily-international-coal-prices,,,,Daily International Coal Prices,,,"<a target=""_blank"" href=""https://www.investing.com/""> Investing.com India</a>"
/energy/fuel-sources/coal/transport,energy-coal-transport,horizontal-stacked-bar-chart-current-transport,modes-of-coal-transport-in-india,,,,Modes of Coal Transport in India,,,MoC
/energy/fuel-sources/coal/transport,energy-coal-transport,stacked-bar-chart-trend-transport,modes-of-coal-transport-in-india-trend,,,,Modes of Coal Transport in India Trends,,,MoC
/energy/fuel-sources/coal/transport,energy-coal-transport,pie-chart-current-transport-by-type,mode-of-transport-by-coal-type,,,,Mode of Transport by Coal type,for {{dynamicYear}} (Qty in Million Tonnes),,MoC
/energy/fuel-sources/coal/transport,energy-coal-transport,transport-by-type-trend,trends-in-mode-of-transport-by-coal-type,,Trends in Mode of Transport by Coal type,,,Qty in Million Tonnes,,MoC
/energy/fuel-sources/coal/transport,energy-coal-transport,pie-chart-current-transport-by-sector,modes-of-transport-by-ownership,,,,Mode of Transport by Ownership,for {{dynamicYear}} (Qty in Million Tonnes),,MoC
/energy/fuel-sources/coal/transport,energy-coal-transport,transport-by-sector-trend,trends-in-mode-of-transport-by-ownership,,Trends in Mode of Transport by Ownership,,,Qty in Million Tonnes,,MoC
/energy/fuel-sources/coal/coal-monthly-data,energy-coal-monthly-data,stacked-bar-chart-coal-despatch-monthly,monthly-coal-and-lignite-production,production,,,Monthly Coal & Lignite Production,,,MoC
/energy/fuel-sources/coal/coal-monthly-data,energy-coal-monthly-data,stacked-bar-chart-coal-despatch-monthly,monthly-coal-and-lignite-despatch,despatch,,,Monthly Coal & Lignite Despatch,,,MoC
/energy/fuel-sources/coal/coal-monthly-data,energy-coal-monthly-data,treemap-chart-current-production-by-company,company-wise-coal-and-lignite-prod,production,,,Company-wise Monthly Coal & Lignite Production,,,MoC
/energy/fuel-sources/coal/coal-monthly-data,energy-coal-monthly-data,treemap-chart-current-production-by-company,company-wise-coal-and-lignite-prod,despatch,,,Company-wise Monthly Coal & Lignite Despatch,,,MoC
/energy/fuel-sources/oil/reserve,energy-oil-reserve,pie-chart-reserve-offshore-pie,balance_recoverable_reserves,,,,Balance Recoverable Reserves - OFFSHORE,Year {{dynamicYear}},,MoPNG
/energy/fuel-sources/oil/reserve,energy-oil-reserve,pie-chart-reserve-onshore=pie,statewise_balance_recoverables_reserves,,,,State-wise Balance Recoverable Reserves- ONSHORE,Year {{dynamicYear}},,MoPNG
/energy/fuel-sources/oil/reserve,energy-oil-reserve,stacked-area-chart-offshore-trend,regionwise_balance_recoverable_reserves_trends,,,,Region-wise Balance Recoverable Reserves Trends - OFFSHORE,,"In 2005-06, 2006-07, and 2007-08 the Western offshore includes Rajasthan.",MoPNG
/energy/fuel-sources/oil/reserve,energy-oil-reserve,stacked-area-chart-onshore-trend,statewise_balance_recoverables_reserves_trends,,,,State-wise Balance Recoverable Reserves Trends - ONSHORE,,"In 2006-07 and 2007-08, Assam includes Tripura, Nagaland, and Arunachal Pradesh reserves of crude oil. <br/> In 2005-06, 2006-07, and 2007-08 Rajasthan is included in Western offshore.",MoPNG
/energy/fuel-sources/oil/reserve,energy-oil-reserve,bar-chart-label-reserves-regime-year,oil_reserve_by_regime,,,,Oil Reserve by Regime,for year {{dynamicYear}},,MoPNG & DGH
/energy/fuel-sources/oil/reserve,energy-oil-reserve,stacked-bar-chart-reserves,yoy_oil_reserves,,,,Year-on-Year Oil Reserves,,,MoPNG & DGH
/energy/fuel-sources/oil/reserve,energy-oil-reserve,stacked-bar-chart-regime,oil_reserve_by_regime_trend,,,,Oil Reserve by Regime Trends,,,MoPNG & DGH
/energy/fuel-sources/oil/crude-supply,energy-oil-crude-supply,multi-type-chart-basin-yearly,basin_wise_production,,,,Basin-wise Production,For year {{dynamicYear}} (in MMT),,MoPNG & DGH
/energy/fuel-sources/oil/crude-supply,energy-oil-crude-supply,stacked-area-chart-1,basin_wise_production_trends (PSC),,,,Basin-wise Production Trends,PVT/JV COMPANIES (NOC),"From the year 2009-10 to 2014-15, the production data for KG Basin includes onland and offshore data.",MoPNG & DGH
/energy/fuel-sources/oil/crude-supply,energy-oil-crude-supply,stacked-area-chart-0,basin_wise_production_trends (NOC),,,,Basin-wise Production Trends,PVT/JV COMPANIES (PSC),*Data for the fiscal year 2025-26 is till April'25.,MoPNG & DGH
/energy/fuel-sources/oil/crude-supply,energy-oil-crude-supply,dual-axis-chart-crude-import,yoy_crude_oil_import,,Crude Oil Import in Year {{dynamicYear}},,Year-on-Year Crude Oil Import,,*Data for the fiscal year 2025-26 is till April'25.,MoPNG & PPAC
/energy/fuel-sources/oil/crude-supply,energy-oil-crude-supply,multi-type-chart-country-import-yearly,country_wise_crude_oil_import,,Country-wise Crude Oil Import,for year {{dynamicYear}},,,,MoC&I
/energy/fuel-sources/oil/crude-supply,energy-oil-crude-supply,stacked-area-chart-country-import-trend,yoy_countrywise_crude_oil_import,,,,Year-on-Year Country-wise Crude Oil Import,,,MoC&I
/energy/fuel-sources/oil/crude-supply,energy-oil-crude-supply,multi-type-chart-crude-import-monthly,monthly_crude_oil_import_trends,,,,Monthly Crude Oil Import Trends,For Fiscal Year {{dynamicYear}},,MoPNG & PPAC
/energy/fuel-sources/oil/crude-supply,energy-oil-crude-supply,stacked-area-chart-monthly-oil-prod,monthly_crude_oil_production_trends,,,,Monthly Crude Oil Production Trends,For Fiscal Year {{dynamicYear}},,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,multi-type-chart-product-supply,production_of_petroleum_products,,,,Production of Petroleum Products,For Fiscal Year {{dynamicYear}},,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,stacked-area-chart-product-supply-trend,production_of_petroleum_products_trends,,,,Production of Petroleum Products Trends,,*Data for the fiscal year 2025-26 is till April'25.,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,pie-chart-products-supply-import-qty-pie,petroleum_products_import_quantity,,,,Petroleum Products Import - Quantity,For Fiscal Year {{dynamicYear}},,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,pie-chart-products-supply-import-amt-pie,petroleum_products_import_amount,,,,Petroleum Products Import - Amount,For Fiscal Year {{dynamicYear}},,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,stacked-area-chart-amount-trend,petroleum_products_import_trends_amount,,,,Petroleum Products Import Trends - Amount,,,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,stacked-area-chart-quantity-trend,petroleum_products_import_trends_quantity,,,,Petroleum Products Import Trends - Quantity,,*Data for the fiscal year 2025-26 is till April'25.,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,stacked-area-chart-ie-amount-trend,petroleum_product_import_trend_amount,,,,Petroleum Products Import Trends - Amount,,*Data for the fiscal year 2025-26 is till April'25.,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,stacked-area-chart-ie-quantity-trend,petroleum_products_import_trends_quantity,,,,Petroleum Products Import Trends - Quantity,,*Data for the fiscal year 2025-26 is till April'25.,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,stacked-area-chart-export-amount-trend,petroleum_products_export_trends_amount,,,,Petroleum Products Export Trends - Amount,,*Data for the fiscal year 2025-26 is till April'25.,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,stacked-area-chart-export-quantity-trend,petroleum_products_export_trends_quantity,,,,Petroleum Products Export Trends - Quantity,,*Data for the fiscal year 2025-26 is till April'25.,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,stacked-area-chart-monthly-pp-supply,india_monthly_petroleum_products_production,,,,India's Monthly Petroleum Products Production,For Fiscal Year {{dynamicYear}},,MoPNG & PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,multi-type-chart-pp-import-monthly,petroleum_products_import_export,,,,India's Monthly Petroleum Products Import,For Fiscal Year {{dynamicYear}} (in 000'Tonne),,PPAC
/energy/fuel-sources/oil/products-supply,energy-oil-products-supply,multi-type-chart-pp-export-monthly,petroleum_products__export_monthly,,,,India's Monthly Petroleum Products Export,For Fiscal Year {{dynamicYear}} (in 000'Tonne),,PPAC
/energy/fuel-sources/oil/pipeline,energy-oil-pipeline,multi-type-chart-pipelineop,capacity-and-throughput-for-operational-pipelines,,Capacity & Throughput for Operational Pipelines,For year {{dynamicYear}},,,,MoPNG
/energy/fuel-sources/oil/pipeline,energy-oil-pipeline,pipeline-by-operator,pipeline-details-by-operator,,Pipeline Details by Operator,For year {{dynamicYear}},,,,MoPNG
/energy/fuel-sources/oil/pipeline,energy-oil-pipeline,products-operational-pipelines,products-operational-pipelines,,"Crude Oil, LPG, and Petroleum Products Operational Pipelines",For year {{dynamicYear}},,,,MoPNG
/energy/fuel-sources/oil/consumption,energy-oil-consumption,treemap-chart-state-wise-cons-tree,state-wise-petroleum-products-consumption,,,,State-wise Petroleum Products Consumption,For Fiscal Year {{dynamicYear}} in (000'Tonne),Refinery fuel and losses (RBF) are excluded from the total petroleum products consumption for all years.,MoPNG
/energy/fuel-sources/oil/consumption,energy-oil-consumption,stacked-area-chart-state-wise-cons,state-wise-petroleum-products-consumption-trends,,,,State-wise Petroleum Products Consumption Trends,,Refinery fuel and losses (RBF) are excluded from the total petroleum products consumption for all years.,MoPNG
/energy/fuel-sources/oil/consumption,energy-oil-consumption,stacked-area-chart-oil-type-cons,consumption-of-petroleum-products,,,,Consumption of Petroleum Products,,,MoPNG
/energy/fuel-sources/oil/consumption,energy-oil-consumption,sunburst-chart,sector-wise-consumption-petroleum-products,,,,Sector-wise Consumption of Petroleum Products,For Year {{dynamicYear}} (in 000 Tonnes),,MoPNG
/energy/fuel-sources/oil/consumption,energy-oil-consumption,stacked-area-chart-sector-wise-cons-trend,sector-wise-consumption-petroleum-products-trend,,,,Sector-wise Consumption of Petroleum Products Trends,,The reseller's data is included in miscellaneous from the years 2005-06 to 2009-10.,MoPNG
/energy/fuel-sources/oil/consumption,energy-oil-consumption,multi-type-chart-product-wise-trend,state-wise-product-consumption-trends,,State-Wise Product-wise Consumption Trends,Qty (in 000 Tonnes),,,,MoPNG
/energy/fuel-sources/oil/consumption,energy-oil-consumption,stacked-area-chart-sector-wise-cons-monthly,monthly-consumption-petroleum-products,,,,Monthly Consumption of Petroleum Products,For Fiscal Year {{dynamicYear}},,PPAC
/energy/fuel-sources/oil/pricing,energy-oil-pricing,download-pp-price-metros-section,petroleum-product-prices-in-metro-cities,,Petroleum Product Prices in Metro Cities,,,,,MoPNG
/energy/fuel-sources/oil/pricing,energy-oil-pricing,multi-type-chart-pp-price-trend,average-petroleum-products-price-trends,,,,Average Petroleum Products Price Trends across Metro Cities,,,MoPNG
/energy/fuel-sources/oil/pricing,energy-oil-pricing,multi-type-chart-domestic-crudeoil-price-trend,domestic-cruse-oil-prices-trends,,,,Domestic Crude Oil Prices Trends,,,MoPNG
/energy/fuel-sources/oil/pricing,energy-oil-pricing,multi-type-chart-imported-crudeoil-price-trend,imported-crude-oil-prices-trends,,,,Imported Crude Oil Prices Trends,,*Data for the fiscal year 2025-26 is till June'25.,MoPNG
/energy/fuel-sources/oil/pricing,energy-oil-pricing,multi-type-chart-daily-retail-selling-price,daily-retail-selling-price-of-petrol-and-diesel,,,,Daily Retail Sellling Price of Petrol & Diesel,,,PPAC
/energy/fuel-sources/oil/pricing,energy-oil-pricing,multi-type-chart-fob-price,international-prices-of-crude-oil,,,,"International Prices of Crude Oil (Indian Basket ), Petrol and Diesel",,,PPAC
/energy/fuel-sources/oil/pricing,energy-oil-pricing,multi-type-chart-daily-oil-price,daily-international-crude-oil-prices,,,,Daily International Crude Oil Prices,,,EIA & OPEC
/energy/fuel-sources/gas/reserve,energy-gas-reserve,reserves-by-regime-pie-chart,natural-gas-reserves-by-regime,,Natural Gas Reserves by Regime,Quantity (in BCM),,,,MoPNG & DGH
/energy/fuel-sources/gas/reserve,energy-gas-reserve,reserves-by-regime-stack-chart,natural-gas-reserves-by-regime-trends,,Natural Gas Reserves by Regime Trends,,,,,MoPNG & DGH
/energy/fuel-sources/gas/reserve,energy-gas-reserve,reserves-by-state-bar-chart,statewise-gas-reserves,,,,State-Wise Gas Reserves,For Fiscal Year {{dynamicYear}},,MoPNG
/energy/fuel-sources/gas/reserve,energy-gas-reserve,reserves-by-state-area-chart,statewise-gas-reserves-trends,,,,State-wise Natural Gas Reserves Trends,,"In 2005-06, 2006-07, & 2007-08, Assam includes Nagaland, Tripura, & Arunachal Pradesh reserves of natural gas. Western Offshore includes Bomaby High Offshore, Rajasthan, & Madhya Pradesh & Jharkhand (Coal Bed Methane). Eastern Offshore includes West Bengal (CBM). In 2008-09 till 2021-22(P), Western Offshore includes Gujarat Offshore.",MoPNG
/energy/fuel-sources/gas/supply,energy-gas-supply,production-by-basin-grossProductionByBasin-chart,basinwise-gas-production,,,,Basin-Wise Gas Production,For Fiscal Year {{dynamicYear}},,MoPNG & DGH
/energy/fuel-sources/gas/supply,energy-gas-supply,production-by-basin-productionByBasinTrend-chart,yoy-basinwise-gas-production,,Year-on-Year Basin-wise Gas Production,,,,*Data for the fiscal year 2025-26 is till April'25.,MoPNG & DGH
/energy/fuel-sources/gas/supply,energy-gas-supply,production-by-state-productionByState-chart,statewise-natural-gas-gross-production,,,,State-wise Natural Gas Gross Production,for Fiscal Year {{dynamicYear}},,MoPNG
/energy/fuel-sources/gas/supply,energy-gas-supply,production-by-state-productionByStateYearTrend-chart,yoy-statewise-gas-production,,Year-on-Year State-wise Gas Production,,,,"From the years 2005-06 to 2009-10, Assam includes Arunachal Pradesh. From the years 2005-06 to 2010-11, West Bengal includes Jharkhand & Madhya Pradesh",MoPNG
/energy/fuel-sources/gas/supply,energy-gas-supply,flaring-flaringTrend-chart,natural-gas-flaring-trends,,,,Natural Gas Flaring Trends,,"From the years 2005-06 to 2009-10, Assam includes Arunachal Pradesh . From the years 2005-06 to 2010-11, West Bengal includes Jharkhand & Madhya Pradesh",MoPNG
/energy/fuel-sources/gas/supply,energy-gas-supply,map,natural-gas-imported-from-various-country,,,,Natural Gas Imported from various Countries,in {{dynamicYear}},,MoCI
/energy/fuel-sources/gas/supply,energy-gas-supply,import-importTrendByCountry-chart,natural-gas-imported-from-various-country-trends,,Natural Gas Imported from various Countries Trends,,,,,MoCI
/energy/fuel-sources/gas/supply,energy-gas-supply,production-grossProductionByState-chart,statewise-monthly-natural-gas-production,,,,State-wise Monthly Natural Gas Production,in {{dynamicYear}},,MoPNG
/energy/fuel-sources/gas/supply,energy-gas-supply,production-productionByStateTrend-chart,statewise-monthly-natural-gas-production-trend,,State-wise Monthly Natural Gas Production Trends,,,,,MoPNG
/energy/fuel-sources/gas/supply,energy-gas-supply,production-monthlyGasImport-chart,monthly-gas-import,,,,Monthly Gas Import,,,PPAC
/energy/fuel-sources/gas/pipeline,energy-gas-pipeline,multi-type-chart-pipelineLength,companywise-length-capacity-and-throughput,,"Company-wise Length, Capacity, and Throughput for Operational Gas Pipelines",For year {{dynamicYear}},,,,MoPNG
/energy/fuel-sources/gas/pipeline,energy-gas-pipeline,natural-gas-pipelines,natural-gas-pipelines-2023,,Natural Gas Pipelines in {{dynamicYear}},,,,,MoPNG
/energy/fuel-sources/gas/consumption,energy-gas-consumption,overview-multi-grid,sectorwise-natural-gas-consumption,,,,Sector-wise Natural Gas Consumption,,*Data for the fiscal year 2025-26 is till April'25.,MoPNG & PPAC
/energy/fuel-sources/gas/consumption,energy-gas-consumption,stacked-bar-chart-energy-trend,natural-gas-consumption-energy-sector-trends,,,,Natural Gas Consumption by Energy Sector Trends,,"*Data for the fiscal year 2025-26 is till April'25.<br/><br/>From 2008-09 to 2010-11, Industrial, Manufacture and Transport are included under City or Local Natural Gas Distribution Network and LPG shrinkage & Internal consumption for pipeline system are included under Others.<br/>From 2014-15 to 2019-20 Road Transport is included under City or Local Natural Gas Distribution Network.",MoPNG & PPAC
/energy/fuel-sources/gas/consumption,energy-gas-consumption,stacked-bar-chart-non-energy-trend,natural-gas-consumption-nonenergy-sector-trends,,,,Natural Gas Consumption by Non-Energy Sector Trends,,*Data for the fiscal year 2025-26 is till April'25.,MoPNG & PPAC
/energy/fuel-sources/gas/consumption,energy-gas-consumption,state-wise-cng-sales,statewise-cng-sales,,State-wise CNG Sales (in 000'Tonnes),,,,,MoPNG
/energy/fuel-sources/gas/consumption,energy-gas-consumption,png-gas-table,png-gas-2016,,PNG Gas - 2016,Sales Qtyin 000Tonne,,,,MoPNG
/energy/fuel-sources/gas/consumption,energy-gas-consumption,stacked-area-chart-gasSector,monthly-sectorwise-gas-consumption,,,,Monthly Sector-wise Gas Consumption,,,PPAC
/energy/fuel-sources/gas/pricing,energy-gas-pricing,stacked-line-chart-trend-price,gas-prices-trends-for-region,,,,Gas Prices Trends for Region,{{dynamicRegion}},,MoPNG
/energy/fuel-sources/gas/pricing,energy-gas-pricing,multi-type-chart-daily-price,daily-international-spot-prices,,,,Daily International Spot Prices,"Henry Hub Natural Gas , Japan/Korea LNG",,EIA & Investing.com India
/energy/fuel-sources/solar/potential,energy-solar-potential,india-state-map,solar-resource-potential,,,,State-wise Solar Potential,,"Note: ER- Eastern Region, NER- North Eastern Region, NR- Northern Region, SR- Southern Region, and WR- Western Region.",MNRE
